AÑO,CLASIFICACION,CH4_eq,CO2_eq,N2O_eq,Total_Emisiones,Emisiones_netas
1990,3.B.4.e. Caballos,99.0777,0.0000,88.4986,187.5762,187.5762
1990,3.B.4.f. Mulas y asnos,38.7839,0.0000,19.5044,58.2883,58.2883
1990,3.B.4.g. Aves,85.0171,0.0000,88.4161,173.4332,173.4332
1990,3.B.4.g.i. Ponedoras,27.0624,0.0000,35.2481,62.3105,62.3105
1990,3.B.4.g.ii. Pollos de engorde,57.9547,0.0000,53.1680,111.1227,111.1227
1990,3.B.5. Emisiones indirectas de N2O de gestión de estiércol,0.0000,0.0000,175.6074,175.6074,175.6074
1990,3.B.5.a. Ganado,0.0000,0.0000,13.5726,13.5726,13.5726
1990,3.B.5.a.i. Vacas de Alta Producción,0.0000,0.0000,4.3197,4.3197,4.3197
1990,3.B.5.a.ii. Vacas de Baja Producción,0.0000,0.0000,9.2529,9.2529,9.2529
1990,3.B.5.a.iii. Vacas para producción de carne,0.0000,0.0000,0.0000,0.0000,0.0000
1990,3.B.5.a.iv. Toros utilizados con fines reproductivos,0.0000,0.0000,0.0000,0.0000,0.0000
1990,3.B.5.a.v. Terneros pre-destetos,0.0000,0.0000,0.0000,0.0000,0.0000
1990,3.B.5.a.vi. Novillas de remplazo,0.0000,0.0000,0.0000,0.0000,0.0000
1990,3.B.5.a.vii. Ganado de engorde,0.0000,0.0000,0.0000,0.0000,0.0000
1990,3.B.5.b. Ovinos,0.0000,0.0000,2.5703,2.5703,2.5703
1990,3.B.5.c. Porcinos,0.0000,0.0000,91.1419,91.1419,91.1419
1990,3.B.5.c.i. Porcinos < 6 meses,0.0000,0.0000,50.3736,50.3736,50.3736
1990,3.B.5.c.ii. Porcinos > 6 meses,0.0000,0.0000,8.7371,8.7371,8.7371
1990,3.B.5.c.iii. Porcinos baja productividad,0.0000,0.0000,32.0313,32.0313,32.0313
1990,3.B.5.d. Otro Ganado,0.0000,0.0000,68.3225,68.3225,68.3225
1990,3.B.5.d.i. Búfalos,0.0000,0.0000,0.0456,0.0456,0.0456
1990,3.B.5.d.ii. Caprinos,0.0000,0.0000,0.7426,0.7426,0.7426
1990,3.B.5.d.iii. Caballos,0.0000,0.0000,14.7997,14.7997,14.7997
1990,3.B.5.d.iv. Mulas y asnos,0.0000,0.0000,3.2447,3.2447,3.2447
1990,3.B.5.d.v. Aves,0.0000,0.0000,49.4898,49.4898,49.4898
1990,3.B.5.d.v.i. Ponedoras,0.0000,0.0000,19.7267,19.7267,19.7267
1990,3.B.5.d.v.ii. Pollo de engorde,0.0000,0.0000,29.7631,29.7631,29.7631
1990,3.C. Cultivo de arroz,527.9222,0.0000,0.0000,527.9222,527.9222
1990,3.C.1. Arroz riego,486.9302,0.0000,0.0000,486.9302,486.9302
1990,3.C.2. Arroz secano,40.9920,0.0000,0.0000,40.9920,40.9920
1990,3.D. Suelos agrícolas,0.0000,0.0000,6426.8901,6426.8901,6426.8901
1990,3.D.1. Emisiones directas de N2O de suelos gestionados,0.0000,0.0000,4317.1723,4317.1723,4317.1723
1990,3.D.1.a. Fertilizantes N inorgánicos,0.0000,0.0000,1845.1683,1845.1683,1845.1683
1990,3.D.1.b. Fertilizantes orgánicos N,0.0000,0.0000,48.6311,48.6311,48.6311
1990,3.D.1.b.i Estiércol animal aplicado a los suelos,0.0000,0.0000,48.6311,48.6311,48.6311
1990,3.D.1.c. Orina y estiércol depositado por animales en pastoreo.,0.0000,0.0000,1509.7512,1509.7512,1509.7512
1990,3.D.1.d. Residuos de cosecha,0.0000,0.0000,113.3269,113.3269,113.3269
1990,3.D.1.e. Mineralización/inmovilización asociada a pérdida/ganancia de materia orgánica del suelo,0.0000,0.0000,51.5133,51.5133,51.5133
1990,3.D.1.f. Cultivo de suelos orgánicos (Histosoles),0.0000,0.0000,748.7815,748.7815,748.7815
1990,3.D.2. Emisiones indirectas de N2O de suelos gestionados,0.0000,0.0000,2109.7178,2109.7178,2109.7178
1990,3.D.2.a. Deposición atmosférica,0.0000,0.0000,986.4100,986.4100,986.4100
1990,3.D.2.a.i. Deposición atmosférica - Fertilizantes N inorgánicos,0.0000,0.0000,186.8315,186.8315,186.8315
1990,3.D.2.a.ii. Deposición atmosférica - Fertilizantes N orgánicos,0.0000,0.0000,22.3329,22.3329,22.3329
1990,3.D.2.a.iii. Deposición atmosférica - Orina y estiércol depositado por animales en pastoreo,0.0000,0.0000,777.2456,777.2456,777.2456
1990,3.D.2.b. Lixiviación y escorrentía de nitrógeno,0.0000,0.0000,1123.3078,1123.3078,1123.3078
1990,3.D.2.b.i. Lixiviación y escorrentía de nitrógeno - Fertilizantes N inorgánicos,0.0000,0.0000,321.9694,321.9694,321.9694
1990,3.D.2.b.ii. Lixiviación y escorrentía de nitrógeno - Fertilizantes N orgánicos,0.0000,0.0000,21.8680,21.8680,21.8680
1990,3.D.2.b.iii. Lixiviación y escorrentía de nitrógeno - Residuos de cosecha,0.0000,0.0000,52.6494,52.6494,52.6494
1990,3.D.2.b.iv. Lixiviación y escorrentía de nitrógeno - Mineralización/inmovilización asociada a pérdida/ganancia de materia orgánica del suelo,0.0000,0.0000,22.6864,22.6864,22.6864
1990,3.D.2.b.v. Lixiviación y escorrentía de nitrógeno - Orina y estiércol depositado por animales en pastoreo,0.0000,0.0000,704.1345,704.1345,704.1345
1990,3.G. Encalado,0.0000,2.4210,0.0000,2.4210,2.4210
1990,3.G.2. Dolomita CaMg(CO3),0.0000,2.4210,0.0000,2.4210,2.4210
1990,3.H. Aplicación de urea,0.0000,245.9213,0.0000,245.9213,245.9213
